                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.18508,                0.81958,                      0,                0.17012,                0.84277,                0.99998,                      1,                  0.995,                0.99477,                0.96338,                0.96246,                0.95758,                0.95758,                0.08448,                 0.3745,                      0,                0.08239,                0.74948,              0.0010383,              0.0010383,              0.0010383
                     36,                0.18518,                0.83071,                      0,                0.17044,                0.84274,                0.99997,                      1,                  0.995,                0.99481,                0.96285,                0.96246,                0.94607,                0.94602,                0.08517,                0.37621,                      0,                0.08561,                0.75035,                0.00101,                0.00101,                0.00101
                     37,                 0.1832,                0.82228,                      0,                0.16799,                0.84234,                0.99997,                      1,                  0.995,                0.99481,                0.96371,                0.96246,                0.94922,                0.94916,                0.08024,                0.36955,                      0,                 0.0813,                0.74881,             0.00098171,             0.00098171,             0.00098171
                     38,                0.18613,                0.83574,                      0,                0.17038,                0.84107,                0.99999,                      1,                  0.995,                0.99483,                0.96291,                0.96246,                0.94768,                0.94768,                0.07726,                0.36977,                      0,                0.08244,                0.74906,             0.00095343,             0.00095343,             0.00095343
                     39,                0.18015,                0.81707,                      0,                0.16501,                0.84023,                0.99996,                      1,                  0.995,                0.99489,                0.96375,                0.96246,                0.94754,                0.94752,                0.07454,                0.36787,                      0,                0.07557,                0.74867,             0.00092514,             0.00092514,             0.00092514
                     40,                0.17751,                0.79124,                      0,                0.16302,                0.84004,                0.99995,                      1,                  0.995,                0.99488,                0.96381,                0.96246,                0.94931,                0.94924,                0.07454,                 0.3675,                      0,                0.07523,                0.74915,             0.00089686,             0.00089686,             0.00089686
                     41,                0.16939,                0.77741,                      0,                0.15724,                0.83748,                0.99997,                      1,                  0.995,                0.99495,                0.96367,                0.96246,                0.94832,                 0.9482,                0.07418,                0.36842,                      0,                0.07683,                0.74896,             0.00086857,             0.00086857,             0.00086857
                     42,                0.16715,                0.78213,                      0,                0.15611,                0.83837,                0.99999,                      1,                  0.995,                 0.9949,                0.96361,                0.96246,                0.94658,                0.94656,                0.07056,                0.36503,                      0,                0.07315,                 0.7483,             0.00084029,             0.00084029,             0.00084029
                     43,                0.16472,                0.74723,                      0,                0.15554,                 0.8362,                0.99998,                      1,                  0.995,                0.99482,                0.96287,                0.96246,                0.94771,                0.94771,                0.07208,                0.36439,                      0,                0.07439,                0.74799,               0.000812,               0.000812,               0.000812
                     44,                0.16415,                0.76333,                      0,                0.15408,                0.83772,                      1,                0.99994,                  0.995,                0.99484,                 0.9638,                0.96246,                0.94769,                0.94769,                0.07126,                0.36435,                      0,                0.07425,                0.74817,             0.00078371,             0.00078371,             0.00078371
