                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.80554,                 9.2548,                0.62563,                0.68332,                 1.2391,                0.60894,                      1,                0.82833,                0.21186,                      0,                      0,                      0,                      0,                 2.4669,                 9.4601,                0.30893,                 3.3861,                 3.4732,             0.00088816,             0.00088816,             0.00088816
                     34,                0.82854,                 9.1035,                0.62503,                0.60509,                 1.1948,                0.60894,                      1,                0.82833,                0.21186,                      0,                      0,                      0,                      0,                 2.4669,                 9.4601,                0.30893,                 3.3861,                 3.4732,             0.00090222,             0.00090222,             0.00090222
                     35,                0.90656,                 9.2538,                 0.6361,                0.66484,                 1.3163,                 0.4615,                      1,                  0.745,                0.31649,                      0,                      0,                      0,                      0,                 1.8752,                 10.066,                0.28353,                 2.2176,                 2.8469,             0.00091549,             0.00091549,             0.00091549
                     36,                0.84273,                 9.1095,                0.67575,                 0.6973,                 1.2954,                0.32395,                      1,                0.66167,                0.18233,                      0,                      0,                      0,                      0,                 2.1731,                 10.344,                0.26732,                 3.2238,                 3.1108,             0.00092797,             0.00092797,             0.00092797
                     37,                0.90116,                 9.3245,                0.64144,                0.69507,                 1.2574,                0.32395,                      1,                0.66167,                0.18233,                      0,                      0,                      0,                      0,                 2.1731,                 10.344,                0.26732,                 3.2238,                 3.1108,             0.00093966,             0.00093966,             0.00093966
                     38,                0.90439,                 9.8394,                0.63647,                0.77135,                 1.2355,                0.85321,                      1,                  0.995,                0.44077,                      0,                      0,                      0,                      0,                  1.729,                 10.337,                0.25693,                 2.1284,                 2.9038,             0.00095055,             0.00095055,             0.00095055
                     39,                0.99207,                  9.682,                0.65098,                0.75581,                 1.3543,                0.59347,                      1,                0.82833,                0.41827,                      0,                      0,                      0,                      0,                 1.8026,                 10.064,                0.28947,                 1.2737,                 2.7828,             0.00096065,             0.00096065,             0.00096065
                     40,                0.84492,                 9.7454,                0.70805,                0.68608,                 1.2779,                0.59347,                      1,                0.82833,                0.41827,                      0,                      0,                      0,                      0,                 1.8026,                 10.064,                0.28947,                 1.2737,                 2.7828,             0.00096996,             0.00096996,             0.00096996
                     41,                0.95665,                  9.503,                0.67138,                0.86374,                 1.3335,                0.95355,                      1,                  0.995,                0.59818,                      0,                      0,                      0,                      0,                 1.3974,                 10.095,                0.29798,                 1.1836,                 2.3685,             0.00097848,             0.00097848,             0.00097848
                     42,                0.87232,                 8.9114,                0.62859,                0.63363,                  1.237,                0.96408,                      1,                  0.995,                0.35153,                      0,                      0,                      0,                      0,                  1.356,                 10.548,                 0.2883,                 1.2535,                 2.4018,             0.00098621,             0.00098621,             0.00098621
                     43,                0.83502,                 9.8096,                0.65494,                0.64132,                 1.2786,                0.96408,                      1,                  0.995,                0.35153,                      0,                      0,                      0,                      0,                  1.356,                 10.548,                 0.2883,                 1.2535,                 2.4018,             0.00099314,             0.00099314,             0.00099314
                     44,                0.83855,                  8.667,                0.66973,                0.71632,                 1.3056,                0.97892,                      1,                  0.995,                0.54869,                      0,                      0,                      0,                      0,                 1.3839,                 10.005,                0.23067,                 1.3252,                 2.4773,             0.00099928,             0.00099928,             0.00099928
                     45,                 1.1435,                 9.5771,                0.68396,                0.84283,                  1.521,                0.97892,                      1,                  0.995,                0.54869,                      0,                      0,                      0,                      0,                 1.3839,                 10.005,                0.23067,                 1.3252,                 2.4773,              0.0010046,              0.0010046,              0.0010046
                     46,                0.84668,                 9.5373,                0.60396,                0.65113,                 1.1932,                0.98091,                      1,                  0.995,                0.57394,                      0,                      0,                      0,                      0,                 1.2033,                 9.8329,                0.25392,                 1.0901,                 2.2689,              0.0010092,              0.0010092,              0.0010092
                     47,                0.80703,                 9.6746,                0.63771,                0.79796,                 1.2836,                0.98091,                      1,                  0.995,                0.57394,                      0,                      0,                      0,                      0,                 1.2033,                 9.8329,                0.25392,                 1.0901,                 2.2689,               0.001013,               0.001013,               0.001013
                     48,                0.88438,                 9.1349,                0.64284,                0.64008,                 1.3625,                0.98138,                      1,                  0.995,                0.59926,                      0,                      0,                      0,                      0,                 1.1653,                 9.6908,                0.22333,                 1.1621,                 1.9979,              0.0010159,              0.0010159,              0.0010159
                     49,                0.87186,                 9.3723,                0.67033,                0.65781,                 1.3325,                0.98138,                      1,                  0.995,                0.59926,                      0,                      0,                      0,                      0,                 1.1653,                 9.6908,                0.22333,                 1.1621,                 1.9979,              0.0010181,              0.0010181,              0.0010181
                     50,                0.69561,                 9.3058,                 0.6106,                0.54258,                 1.1702,                0.97585,                      1,                  0.995,                0.54819,                      0,                      0,                      0,                      0,                 1.4843,                 9.4951,                0.18514,                 1.4328,                 2.6016,              0.0010195,              0.0010195,              0.0010195
                     51,                0.84894,                  8.807,                0.62801,                0.62478,                 1.2513,                0.97585,                      1,                  0.995,                0.54819,                      0,                      0,                      0,                      0,                 1.4843,                 9.4951,                0.18514,                 1.4328,                 2.6016,                0.00101,                0.00101,                0.00101
                     52,                0.97495,                  8.827,                0.65129,                  0.699,                 1.3226,                0.94682,                      1,                  0.995,                0.57362,                      0,                      0,                      0,                      0,                 1.4438,                 9.4212,                0.18418,                 1.1286,                 2.3661,                0.00101,                0.00101,                0.00101
                     53,                0.80893,                 8.8192,                 0.6409,                0.67007,                 1.2191,                0.94682,                      1,                  0.995,                0.57362,                      0,                      0,                      0,                      0,                 1.4438,                 9.4212,                0.18418,                 1.1286,                 2.3661,              0.0009902,              0.0009902,              0.0009902
                     54,                0.88253,                 9.3393,                0.65448,                0.67437,                  1.352,                0.81248,                      1,                  0.995,                0.79644,                      0,                      0,                      0,                      0,                 1.0747,                 9.5461,                0.21315,                 1.1373,                 1.7916,              0.0009704,              0.0009704,              0.0009704
                     55,                0.94253,                 9.4444,                0.63876,                0.70198,                 1.4129,                0.81248,                      1,                  0.995,                0.79644,                      0,                      0,                      0,                      0,                 1.0747,                 9.5461,                0.21315,                 1.1373,                 1.7916,              0.0009506,              0.0009506,              0.0009506
                     56,                0.77663,                 9.6154,                0.60168,                0.60343,                 1.1697,                0.88543,                      1,                  0.995,                0.62266,                      0,                      0,                      0,                      0,                 1.4997,                 9.5806,                 0.2433,                 1.1046,                 2.1889,              0.0009308,              0.0009308,              0.0009308
                     57,                0.74749,                 9.1492,                0.61806,                0.66076,                 1.2134,                0.88543,                      1,                  0.995,                0.62266,                      0,                      0,                      0,                      0,                 1.4997,                 9.5806,                 0.2433,                 1.1046,                 2.1889,               0.000911,               0.000911,               0.000911
                     58,                0.74751,                 8.9677,                0.62159,                0.58427,                 1.1819,                0.55909,                      1,                0.82833,                0.37811,                      0,                      0,                      0,                      0,                 2.2575,                 9.5388,                0.27349,                 1.9677,                 2.4438,              0.0008912,              0.0008912,              0.0008912
                     59,                0.76372,                 9.1981,                0.61701,                 0.6111,                 1.2438,                0.55909,                      1,                0.82833,                0.37811,                      0,                      0,                      0,                      0,                 2.2575,                 9.5388,                0.27349,                 1.9677,                 2.4438,              0.0008714,              0.0008714,              0.0008714
                     60,                 0.7764,                 8.7871,                0.62794,                 0.6953,                 1.2226,                0.94746,                      1,                  0.995,                0.23758,                      0,                      0,                      0,                      0,                 2.5421,                 8.6813,                0.29855,                 1.4268,                 2.8185,              0.0008516,              0.0008516,              0.0008516
                     61,                0.90958,                 9.0243,                0.58853,                0.66719,                 1.2441,                0.94746,                      1,                  0.995,                0.23758,                      0,                      0,                      0,                      0,                 2.5421,                 8.6813,                0.29855,                 1.4268,                 2.8185,              0.0008318,              0.0008318,              0.0008318
                     62,                0.72508,                 8.7908,                0.61044,                 0.7049,                 1.2074,                0.96044,                      1,                  0.995,                0.54983,                      0,                      0,                      0,                      0,                 1.5326,                 7.9938,                0.26254,                0.91338,                 2.4508,               0.000812,               0.000812,               0.000812
                     63,                0.76885,                 8.5953,                0.61564,                0.64948,                 1.1598,                0.96044,                      1,                  0.995,                0.54983,                      0,                      0,                      0,                      0,                 1.5326,                 7.9938,                0.26254,                0.91338,                 2.4508,              0.0007922,              0.0007922,              0.0007922
                     64,                 0.8606,                 8.9483,                0.59946,                0.62212,                 1.1761,                0.96701,                      1,                  0.995,                  0.796,                      0,                      0,                      0,                      0,                      1,                 9.6217,                0.22853,                0.50708,                   1.93,              0.0007724,              0.0007724,              0.0007724
                     65,                0.73193,                 8.9605,                 0.6085,                0.61774,                 1.1768,                0.96701,                      1,                  0.995,                  0.796,                      0,                      0,                      0,                      0,                      1,                 9.6217,                0.22853,                0.50708,                   1.93,              0.0007526,              0.0007526,              0.0007526
                     66,                0.67645,                 8.2959,                0.60895,                 0.6246,                 1.1592,                 0.9803,                      1,                  0.995,                0.74789,                      0,                      0,                      0,                      0,                 1.0981,                 9.8803,                0.24529,                0.65746,                 2.0379,              0.0007328,              0.0007328,              0.0007328
                     67,                0.64778,                 9.0391,                0.59573,                0.55138,                 1.1371,                 0.9803,                      1,                  0.995,                0.74789,                      0,                      0,                      0,                      0,                 1.0981,                 9.8803,                0.24529,                0.65746,                 2.0379,               0.000713,               0.000713,               0.000713
                     68,                0.63969,                  8.295,                0.59115,                0.56935,                 1.1168,                  0.977,                      1,                  0.995,                0.62252,                      0,                      0,                      0,                      0,                 1.1313,                   8.93,                0.25686,                 1.0051,                 2.1919,              0.0006932,              0.0006932,              0.0006932
                     69,                0.78157,                 8.7665,                0.58493,                0.57995,                  1.212,                  0.977,                      1,                  0.995,                0.62252,                      0,                      0,                      0,                      0,                 1.1313,                   8.93,                0.25686,                 1.0051,                 2.1919,              0.0006734,              0.0006734,              0.0006734
                     70,                0.62781,                 9.3557,                 0.5965,                0.52964,                 1.1572,                0.97378,                      1,                  0.995,                  0.597,                      0,                      0,                      0,                      0,                 1.2732,                 8.6745,                0.26522,                 1.1036,                 2.3936,              0.0006536,              0.0006536,              0.0006536
                     71,                0.73008,                 9.0084,                0.61369,                0.61409,                 1.1887,                0.97378,                      1,                  0.995,                  0.597,                      0,                      0,                      0,                      0,                 1.2732,                 8.6745,                0.26522,                 1.1036,                 2.3936,              0.0006338,              0.0006338,              0.0006338
                     72,                0.67234,                 8.7088,                0.60249,                0.57007,                 1.1785,                0.97138,                      1,                  0.995,                0.62257,                      0,                      0,                      0,                      0,                 1.1161,                  8.753,                0.24289,                0.89615,                 2.1927,               0.000614,               0.000614,               0.000614
                     73,                0.70553,                 8.8737,                 0.6281,                0.62938,                 1.2334,                0.97138,                      1,                  0.995,                0.62257,                      0,                      0,                      0,                      0,                 1.1161,                  8.753,                0.24289,                0.89615,                 2.1927,              0.0005942,              0.0005942,              0.0005942
                     74,                0.67027,                   8.56,                 0.5805,                0.55943,                 1.1674,                0.96004,                      1,                  0.995,                0.69804,                      0,                      0,                      0,                      0,                 1.0417,                 9.2429,                0.21159,                 0.9119,                  2.029,              0.0005744,              0.0005744,              0.0005744
                     75,                 0.7163,                 8.5909,                0.66747,                0.66061,                 1.2667,                0.96004,                      1,                  0.995,                0.69804,                      0,                      0,                      0,                      0,                 1.0417,                 9.2429,                0.21159,                 0.9119,                  2.029,              0.0005546,              0.0005546,              0.0005546
                     76,                0.64777,                  8.421,                0.56858,                0.54955,                  1.124,                 0.9572,                      1,                  0.995,                0.80037,                      0,                      0,                      0,                      0,                0.93957,                 9.3123,                0.19953,                0.69887,                 1.8364,              0.0005348,              0.0005348,              0.0005348
                     77,                 0.6984,                 8.2143,                0.58482,                0.53236,                 1.0932,                 0.9572,                      1,                  0.995,                0.80037,                      0,                      0,                      0,                      0,                0.93957,                 9.3123,                0.19953,                0.69887,                 1.8364,               0.000515,               0.000515,               0.000515
                     78,                0.57855,                 8.7659,                0.60522,                0.52935,                  1.119,                0.97801,                      1,                  0.995,                 0.7506,                      0,                      0,                      0,                      0,                0.93017,                 8.9769,                0.20394,                0.58489,                 1.7179,              0.0004952,              0.0004952,              0.0004952
                     79,                0.78009,                 8.5365,                0.63604,                0.62373,                 1.2869,                0.97801,                      1,                  0.995,                 0.7506,                      0,                      0,                      0,                      0,                0.93017,                 8.9769,                0.20394,                0.58489,                 1.7179,              0.0004754,              0.0004754,              0.0004754
                     80,                0.60072,                 9.3006,                0.60504,                0.51956,                 1.1227,                0.98114,                      1,                  0.995,                  0.796,                      0,                      0,                      0,                      0,                 1.0249,                  8.496,                0.21525,                0.51366,                 1.7189,              0.0004556,              0.0004556,              0.0004556
                     81,                 0.6319,                 8.6099,                0.58513,                0.47802,                 1.0866,                0.98114,                      1,                  0.995,                  0.796,                      0,                      0,                      0,                      0,                 1.0249,                  8.496,                0.21525,                0.51366,                 1.7189,              0.0004358,              0.0004358,              0.0004358
                     82,                0.56225,                 8.4687,                0.59758,                0.47673,                 1.0812,                0.98034,                      1,                  0.995,                0.74796,                      0,                      0,                      0,                      0,                 1.1018,                 8.3504,                0.23339,                 0.5536,                 1.7699,               0.000416,               0.000416,               0.000416
                     83,                0.65206,                 8.6609,                0.59958,                0.54869,                 1.1548,                0.98034,                      1,                  0.995,                0.74796,                      0,                      0,                      0,                      0,                 1.1018,                 8.3504,                0.23339,                 0.5536,                 1.7699,              0.0003962,              0.0003962,              0.0003962
                     84,                0.54149,                  9.127,                0.60492,                0.45616,                 1.1481,                0.98011,                      1,                  0.995,                0.74832,                      0,                      0,                      0,                      0,                 1.0902,                 8.3533,                0.24382,                0.58098,                 1.7644,              0.0003764,              0.0003764,              0.0003764
                     85,                0.53764,                 8.6756,                0.59069,                 0.4731,                  1.055,                0.98011,                      1,                  0.995,                0.74832,                      0,                      0,                      0,                      0,                 1.0902,                 8.3533,                0.24382,                0.58098,                 1.7644,              0.0003566,              0.0003566,              0.0003566
                     86,                0.57755,                 8.5733,                0.61149,                0.48401,                 1.0929,                0.98053,                      1,                  0.995,                0.72408,                      0,                      0,                      0,                      0,                 1.0912,                 8.3848,                0.25155,                0.53962,                 1.7631,              0.0003368,              0.0003368,              0.0003368
                     87,                0.55866,                 8.4215,                0.55738,                0.42925,                   1.02,                0.98053,                      1,                  0.995,                0.72408,                      0,                      0,                      0,                      0,                 1.0912,                 8.3848,                0.25155,                0.53962,                 1.7631,               0.000317,               0.000317,               0.000317
                     88,                0.56829,                 8.3574,                0.62118,                 0.4803,                 1.1045,                0.98096,                      1,                  0.995,                 0.7238,                      0,                      0,                      0,                      0,                 1.1037,                 8.4802,                0.26123,                0.55408,                 1.7446,              0.0002972,              0.0002972,              0.0002972
                     89,                0.56121,                 8.4735,                0.62105,                0.45253,                 1.1105,                0.98096,                      1,                  0.995,                 0.7238,                      0,                      0,                      0,                      0,                 1.1037,                 8.4802,                0.26123,                0.55408,                 1.7446,              0.0002774,              0.0002774,              0.0002774
                     90,                0.58834,                 8.6167,                0.57975,                0.46774,                 1.1063,                 0.9808,                      1,                  0.995,                 0.6965,                      0,                      0,                      0,                      0,                 1.1636,                 8.5528,                0.27116,                0.56362,                 1.7575,              0.0002576,              0.0002576,              0.0002576
                     91,                0.76638,                 8.1994,                0.46481,                0.71859,                 1.3974,                 0.9808,                      1,                  0.995,                 0.6965,                      0,                      0,                      0,                      0,                 1.1636,                 8.5528,                0.27116,                0.56362,                 1.7575,              0.0002378,              0.0002378,              0.0002378
                     92,                0.99565,                 7.6943,                0.45853,                0.86679,                 1.5924,                0.98094,                      1,                  0.995,                0.60217,                      0,                      0,                      0,                      0,                 1.1839,                 8.6451,                0.27795,                0.61802,                 1.7655,               0.000218,               0.000218,               0.000218
                     93,                0.95412,                  7.844,                0.48389,                0.78565,                 1.6416,                0.98094,                      1,                  0.995,                0.60217,                      0,                      0,                      0,                      0,                 1.1839,                 8.6451,                0.27795,                0.61802,                 1.7655,              0.0001982,              0.0001982,              0.0001982
                     94,                 0.6118,                 7.8231,                0.46086,                0.61897,                 1.2674,                0.98136,                      1,                  0.995,                 0.6545,                      0,                      0,                      0,                      0,                 1.1468,                 8.7932,                0.27913,                0.79451,                 1.7984,              0.0001784,              0.0001784,              0.0001784
                     95,                0.44754,                 7.5157,                  0.395,                0.41747,                 1.0293,                0.98136,                      1,                  0.995,                 0.6545,                      0,                      0,                      0,                      0,                 1.1468,                 8.7932,                0.27913,                0.79451,                 1.7984,              0.0001586,              0.0001586,              0.0001586
                     96,                 0.4682,                 7.4964,                0.41456,                0.40739,                 1.0712,                0.98158,                      1,                  0.995,                 0.6045,                      0,                      0,                      0,                      0,                 1.1622,                 8.7702,                0.27121,                0.78461,                  1.787,              0.0001388,              0.0001388,              0.0001388
                     97,                0.45248,                 7.4871,                0.41899,                0.41976,                 1.0966,                0.98158,                      1,                  0.995,                 0.6045,                      0,                      0,                      0,                      0,                 1.1622,                 8.7702,                0.27121,                0.78461,                  1.787,               0.000119,               0.000119,               0.000119
                     98,                0.45689,                 7.4614,                0.41577,                0.44667,                 1.1556,                0.98174,                      1,                  0.995,                0.65078,                      0,                      0,                      0,                      0,                 1.1845,                 8.8224,                0.27153,                 0.7582,                 1.7807,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.47398,                 8.1898,                0.43513,                0.44744,                 1.1063,                0.98174,                      1,                  0.995,                0.65078,                      0,                      0,                      0,                      0,                 1.1845,                 8.8224,                0.27153,                 0.7582,                 1.7807,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.56443,                 7.3488,                0.39498,                0.44295,                 1.2432,                0.98178,                      1,                  0.995,                0.65025,                      0,                      0,                      0,                      0,                 1.1747,                 8.7574,                0.26862,                0.69878,                 1.7569,               5.96e-05,               5.96e-05,               5.96e-05
